Sample,0,1,2,3,4,5
Ni_Sc,0.960603953,4.522672393,3.980805655,2.977626436,6.697483703,1.953776975
Ni_Ti,-1.420631777,0.433502134,0.527164953,-1.489467303,-0.290147342,1.516874006
Ni_V,-0.040201139,3.96716456,4.518003601,0.418455111,1.056714095,3.114966488
Ni_Cr,0.664750648,4.51971658,6.315519077,1.984845122,2.079242378,3.785943343
Ni_Mn,-2.540644669,1.756715136,-2.346986204,-0.848626767,0.093024046,0.230315586
Ni_Fe,1.028029038,4.418257861,3.638603167,1.985448544,2.64609006,3.529401839
Ni_Co,-3.395545848,0.268244436,1.758778365,-1.700021911,-2.104355133,1.595992239
Ni_Cu,-10.07407141,-24.39799078,-9.42003048,-12.37491808,-6.055377255,-3.248635966
Ni_Y,1.594783194,9.623639313,12.83070531,6.675176225,7.873512669,6.435923579
Ni_Zr,-1.141303693,-1.773975166,2.129381848,-1.398101097,1.709064559,1.428452727
Ni_Nb,-0.228961402,3.012521763,1.30253189,-2.435613643,1.324257833,2.119736144
Ni_Mo,1.690580173,5.795933755,4.550235359,1.337326251,2.898361695,3.328270457
Ni_Ru,-2.175131387,-2.370159842,1.303335985,-1.148126605,-0.220906237,1.321151731
Ni_Rh,-4.967176566,-8.207162322,-1.191376081,-3.432642859,-2.465460804,0.332038575
Ni_Pd,-2.349076108,-3.085604749,0.608372423,-1.490967793,-1.528414965,0.946950901
Ni_Ag,-10.60828051,-25.45579464,-12.07983717,-13.61790216,-7.421350103,-3.424815723
V_Mn,1.069395035,-0.09768115,-1.395474099,-1.131826091,3.892692968,1.006534333
Mn_W,2.936488836,11.1241214,4.533768159,7.649942055,11.61172089,2.870176421
V_Co,-0.863701155,1.567514315,2.532398093,-0.441296879,0.477543193,1.867778093
Fe_Co,-4.399925154,0.498075283,-5.562789438,-5.32584599,-3.13802357,-0.757564196
Co_Mo,-2.173040546,-1.191198446,2.876246344,-0.046309199,-1.146232235,1.762013421
Ti_Co,-0.995801238,-1.780075239,1.502620418,-0.433196579,1.661492731,2.044775107
Co_Ta,-3.321338351,-5.326079273,3.062922872,-2.221426087,-0.125125867,1.229226102
Fe_Cu,-2.930731156,-10.73965578,-2.122013002,-3.236191926,-0.230606659,3.128136243
Co_Cu,-10.10839528,-21.76462642,-10.31819788,-11.69636959,-7.687595714,-1.827421292
Cu_Y,-4.683068759,6.717235739,7.365888618,6.108115229,0.661396973,5.014796477
Cu_Zr,4.426387926,1.847983078,7.468423677,6.392450047,7.546017105,3.772218882
Cu_Re,-0.194321247,-2.557085646,1.382646892,-0.427934076,0.36176507,1.201213665
Rh_Hf,-3.778922373,-3.637443759,0.258749384,-1.373267184,0.372896668,0.077302441
Nb_Rh,2.884040631,6.688589491,4.816332122,5.629618006,8.803407211,1.547302353
Rh_W,-1.672281213,-7.074228916,0.582850288,-1.679618659,0.559126439,-0.166103904
Mo_Pd,3.288922495,-7.668268498,4.904318989,6.942296171,9.579693118,1.585551276
Nb_Pd,0.872751001,1.483032354,2.820938837,-0.234875628,2.397169947,0.709571954
Zr_Pd,-2.139799849,-1.230279559,2.252405177,-1.85810742,1.301039269,-0.244359934
Y_Pd,-3.642052,-0.079907291,4.607462858,1.743041361,3.14143982,1.155978523
V_Pd,1.867035318,1.563007932,2.268957627,-0.131261096,3.368032253,1.761630404
Mo_Ir,-6.372090645,-10.69847799,-3.517268765,-5.943041808,-2.940960606,-2.197061136
Ru_Ir,-8.499872523,-16.79178771,-6.028463553,-9.47746233,-4.455085561,-3.985218611
Ta_Ir,-0.84358309,-0.473070991,1.557757621,-0.846000762,0.634066988,1.620806104
Co_Ir,-6.956567274,-13.19381191,-5.429499765,-4.510019866,-3.850556231,-0.791061495
Ir_Pt,-13.60892564,-26.7588166,-10.13151152,-15.99680961,-4.884909808,-6.704220237
Fe_Pt,-4.669718191,-5.491887334,-3.583736738,-3.014347919,-2.200283189,0.678411153
Re_Pt,-5.376462497,-6.644601801,-3.477585183,-4.400653996,-1.012416286,-1.02772607
Co_Pt,-5.90261804,-9.913486801,-5.311392589,-3.998322658,-2.276041185,0.525353817
Nb_Ru,-0.47282356,-0.840707435,3.727745397,-0.898069184,0.999226075,1.405512473
Ti_Ru,2.323455085,1.416344991,1.212868835,-1.092497327,2.396828157,2.186474462
Ru_Os,-2.943430962,-5.91387177,1.825881774,-1.87552312,0.990961649,-0.278654192
Mo_W,1.233981774,4.074555427,5.221076737,0.970045478,1.453784438,1.757105491
Nb_Mo,2.116187856,4.908419342,7.230573697,2.040294947,3.329049411,2.510479822
V_Os,-2.994724776,-4.476144852,1.665272521,-1.691848509,0.074416565,1.086263209
Zr_Au,5.014697379,8.077265313,6.630137933,1.129500113,7.658609891,4.954022
Sc_Au,6.658530587,10.12898356,5.113783234,0.316454627,8.802081762,4.69104295
Sc_Ag,5.523974397,11.90733942,8.360599879,7.274642788,7.251841472,4.752824599
Sc_Ir,-10.43956232,-20.0620744,-11.61016038,-12.63220586,-9.833712244,-4.040695103
Co_Nb,-1.076973834,1.246272027,2.930751165,-0.635055735,-0.104344713,2.017306017
Cu_Nb,2.173569558,0.954754717,1.284332326,0.649365451,2.830137463,2.558642264
Nb_Au,-0.764651891,-4.168569623,-1.804897744,-4.995579192,3.401034902,0.040711253
Rh_Re,-2.413638338,-9.131828658,-1.296504904,-1.983188413,-0.051821743,-0.313727213
V_Cr,4.45755328,9.871852892,8.400818404,4.00508737,6.245119019,5.106647538
Sc_Os,-5.440726032,-8.502357744,-4.684331133,-7.377222926,-4.59523538,-0.43694669
Ti_Cu,23.14741624,-118.2716488,24.10573109,132.4806851,145.3335639,13.57005042
Ti_Ag,0.897278478,-3.657432465,0.303250509,-1.123248106,2.256681827,3.235515576
Sc_Cu,5.260697849,11.38522885,10.7441905,9.332309125,9.10984556,5.59685125
Pd_Ta,-1.417408908,-2.12458425,1.489371947,-2.426276502,1.02967853,0.146433321
V_Ta,-0.326969973,-4.732877095,1.230603001,-4.79420247,2.949327366,1.192271897
Ni_Re,1.21881449,1.071508018,3.065954327,0.385222313,2.914163037,2.146588607
Ru_W,0.41100346,-1.717354314,3.70314842,-0.127967044,1.810349453,1.224393706
Sc_Rh,-8.37528937,-16.46139306,-8.282457456,-8.697318114,-6.447680103,-2.727327036
V_Cu,3.784519583,7.5394355,4.532596002,4.464389159,8.596912581,3.797607702
Cr_W,-1.089920802,-0.311998384,2.392696969,-1.874127534,0.243210079,1.90023872
Cu_Mo,1.397478039,-3.582639819,1.986562965,1.028217288,2.624349613,2.212967417
Y_Ru,-5.081103556,-3.658157377,0.663156371,-1.524308877,-0.575401174,0.485756092
Zr_W,1.871421902,3.687032951,5.347288815,0.941477776,2.996618741,3.241250725
Nb_Pt,-4.648038452,-5.169372899,-1.40372729,-3.67126336,-0.890257813,0.106008168
Cr_Co,6.61955635,-11.20190225,10.75789604,19.68328864,22.69885277,5.740117217
Zr_Ag,-1.434783286,-1.470983348,2.704247226,1.123982467,1.215085235,2.477809699
Pd_Re,-0.037156084,-8.400233721,2.000112264,1.855019318,5.411346744,1.076548213
V_Mo,0.482404665,1.988128376,3.502011531,-0.914244928,2.078124206,2.500764025
Fe_Pd,0.48458399,-6.709414226,-0.994092408,0.268631893,4.500542083,0.246920058
Re_Ir,-7.686693248,-9.892836123,-4.336632072,-5.5585549,-3.342186105,-1.885008561
Ti_Au,-2.806466682,-7.96023233,-3.115617087,-5.725345662,1.528172419,0.497064219
Fe_Zr,-5.158281319,-13.63952222,-0.148016706,-7.631952244,-0.572869991,-1.467124627
Cu_Pd,-6.309188151,-11.66668614,-5.193589846,-6.783082751,-4.817993078,-0.201833127
Ti_Mo,0.859568914,2.820407719,1.408170254,-1.595246383,2.41674246,2.648762131
Rh_Ag,-12.44440424,-29.12807941,-16.31072662,-19.54920488,-9.237884296,-8.158907412
Ni_Hf,-5.570647839,-11.87525796,-0.277147998,-5.172104823,0.84102935,-0.387293999
Ni_Ta,-2.081412023,-4.117080854,0.759976984,-3.011340779,0.726791198,1.078542558
Ni_W,1.511598281,5.395422636,4.189994122,0.731665164,2.784501729,3.562088116
Ni_Os,-2.652586702,-6.987801552,-0.990751903,-2.314460804,-0.796868325,0.691495601
Ni_Ir,-5.008764323,-10.0965049,-3.840789304,-3.548837046,-1.751317369,0.618541572
Ni_Pt,-4.158007555,-6.006109996,-3.027037025,-2.773101483,-0.36311467,2.126521962
Ni_Au,-5.133943338,-18.36508825,-7.452477886,-8.978565682,0.301827611,-0.485816188
Sc_Ti,-0.054732907,-0.875952153,-3.16769423,-7.0044604,1.805683416,-1.352397507
Sc_V,0.049274397,-2.832814427,-1.222448678,-6.290334413,1.93963323,-1.005034168
Sc_Cr,-1.549815236,-5.077317547,-1.8642565,-6.585853751,0.466329761,-1.5567649
Sc_Mn,-2.822722909,-4.265040011,-2.382460016,-5.846438235,1.947312369,-3.497985573
Sc_Fe,-4.026685778,-7.816000507,-1.838117963,-8.111302501,-0.453967598,-3.088022659
Sc_Co,-6.879881428,-9.037131009,-2.324668479,-6.23903447,-3.50614057,-2.515841733
Sc_Y,-5.613278689,-7.560927245,0.983079549,-3.718283717,-0.129067887,0.987751803
Sc_Zr,-2.438330772,-1.951138809,0.713592649,-3.55111847,1.147235289,1.225023033
Sc_Nb,-0.486420116,-1.021648996,0.911704042,-2.904077666,0.94218351,1.842312332
Sc_Mo,-1.873352787,-1.095842714,-1.621323008,-4.459661819,-1.482772658,1.039711511
Sc_Ru,-0.40031112,-9.953522021,-0.87137923,0.14199025,3.781988236,1.068644851
