Sample,0,1,2,3,4,5
Ni_Sc,15.80133665,3.349809918,3.730891742,16.03692394,4.793736743,5.143460863
Ni_Ti,4.954956025,1.600789178,1.69506831,3.833194534,2.570257469,2.645135725
Ni_V,3.815393912,1.152886578,1.19718515,2.163897543,2.065608134,2.238303923
Ni_Cr,4.675804489,1.314684556,1.442367231,2.593664054,2.177470369,2.548454053
Ni_Mn,6.924652495,1.951283812,2.309991242,4.139217461,2.634593384,3.124624506
Ni_Fe,7.52515603,1.419007158,1.920544089,3.217881927,2.479559692,3.10385781
Ni_Co,8.478594112,1.614394045,2.128168072,4.226952354,2.657473432,3.314574485
Ni_Cu,11.88410327,2.71514147,3.154405404,10.83344979,4.056613605,4.214400377
Ni_Y,19.44822701,3.582852965,3.994435248,18.20747273,5.085692472,5.465866597
Ni_Zr,8.279045683,2.418108504,2.456840238,7.562188405,3.470675282,3.424013456
Ni_Nb,4.745151616,1.767475338,1.820865543,4.649591948,2.697611475,2.568643092
Ni_Mo,3.529470099,1.319613733,1.621935998,2.853071488,2.115548393,2.049783803
Ni_Ru,7.142064647,2.012275978,2.401689445,5.027899262,2.776794791,3.026849796
Ni_Rh,11.55974251,2.81689989,3.165087762,10.34956676,3.958763556,4.209831022
Ni_Pd,10.03838305,2.425330754,2.725711136,8.088001932,3.425421224,3.788193779
Ni_Ag,17.54623242,3.329165017,3.711888489,15.09419965,4.843231288,5.118881274
V_Mn,-0.846616534,0.680454916,0.505016135,0.07387697,1.304503187,0.681159473
Mn_W,-1.472820134,1.066457271,0.80410807,0.660532567,1.650575841,0.940246672
V_Co,2.470601385,1.214173309,0.874628041,2.029910738,1.825363742,2.099120754
Fe_Co,4.931930033,0.747110415,1.433526082,1.832206828,1.872241654,2.632507945
Co_Mo,1.110229217,0.423828515,0.469174322,1.87915818,1.210662242,1.023888445
Ti_Co,4.316325881,1.792178965,1.645729547,4.336142116,2.653019093,2.788915101
Co_Ta,4.954035237,1.96789473,2.217314103,5.426009551,2.794397861,2.772579675
Fe_Cu,10.79839334,2.565328363,2.880607625,10.73864161,3.971846876,4.119536482
Co_Cu,11.14847138,2.645638538,2.998341263,10.37606745,3.930603132,4.083759034
Cu_Y,19.01154124,3.583992419,3.973246484,19.30477977,5.229350598,5.377365287
Cu_Zr,11.42303068,2.863359847,2.912892508,11.48589506,4.200203241,4.038738692
Cu_Re,8.853023054,2.386557989,2.754529857,8.952632555,3.550515346,3.636913213
Rh_Hf,9.576362974,2.680599473,2.743339558,9.505461646,3.554906558,3.555639302
Nb_Rh,3.584896697,1.772016474,1.52714384,5.228285851,2.14801152,1.888496016
Rh_W,1.937694921,0.971577717,1.253881289,2.390952305,1.216331933,1.423201904
Mo_Pd,4.342197498,1.67908222,1.730879901,4.715064758,2.130960819,2.173086221
Nb_Pd,5.432804782,2.11944808,2.122261007,7.004771601,2.741365369,2.583571898
Zr_Pd,8.3601162,2.671502866,2.639865947,9.075804829,3.541082464,3.351761295
Y_Pd,20.14545273,3.883193003,4.160946914,17.45778058,5.234082678,5.324918248
V_Pd,4.125313264,1.840956001,1.824753468,4.057693231,2.324877059,2.369461624
Mo_Ir,0.901177913,0.767948735,1.32369519,1.907958607,0.837381257,0.859669993
