Sample,0,1,2,3,4,5,r
Ni_Sc,15.80133665,3.349809918,3.730891742,16.03692394,4.793736743,5.143460863,1.72 
Ni_Mn,6.924652495,1.951283812,2.309991242,4.139217461,2.634593384,3.124624506,2.48 
Ni_Co,8.478594112,1.614394045,2.128168072,4.226952354,2.657473432,3.314574485,2.72 
Ni_Cu,11.88410327,2.71514147,3.154405404,10.83344979,4.056613605,4.214400377,2.42 
Ni_Nb,4.745151616,1.767475338,1.820865543,4.649591948,2.697611475,2.568643092,3.01 
Ni_Ru,7.142064647,2.012275978,2.401689445,5.027899262,2.776794791,3.026849796,2.85 
Ni_Ag,17.54623242,3.329165017,3.711888489,15.09419965,4.843231288,5.118881274,1.67 
Cu_Zr,11.42303068,2.863359847,2.912892508,11.48589506,4.200203241,4.038738692,2.11 
Cu_Fe,11.03632964,2.569068236,2.921615408,10.16931334,4.006334567,4.101659836,2.37 
Co_Mo,1.110229217,0.423828515,0.469174322,1.87915818,1.210662242,1.023888445,3.52 
Pt_Fe,19.69258679,4.279976387,4.207517429,20.10341911,5.889635118,5.989354887,1.09 
Pd_Fe,10.76148112,2.674081534,2.786373536,10.03127531,3.77615001,4.027731223,2.36 
Au_Zr,13.99030311,3.351908835,3.451628679,12.55266762,4.556194682,4.506005143,2.02 
Ir_Ru,3.384579246,1.814285536,1.825002478,2.755366874,1.581145942,1.94272261,3.35 
Pt_Ir,5.370106852,2.124651786,2.276730257,4.863041643,2.405695912,2.747985361,2.70 
Rh_W,1.937694921,0.971577717,1.253881289,2.390952305,1.216331933,1.423201904,3.55 
Ir_Re,1.862848889,1.734458052,1.465238165,3.63807568,1.785306729,1.975032518,3.38 
Au_Ti,11.72044074,3.097849691,3.148327293,11.11284371,4.343401783,4.291533236,2.17 
Ir_Mo,0.985819261,1.357889291,1.355289749,1.743366472,0.992566994,0.942287208,3.40 
Ir_Ta,3.831276355,2.243255773,1.928330079,4.81856023,2.509014408,2.409426679,3.39 
Mn_V,-0.899728805,0.68193154,0.449365136,0.719264418,1.256405493,0.729694855,3.83 
Mn_W,-1.472820134,1.066457271,0.80410807,0.660532567,1.650575841,0.940246672,3.32 
Rh_Hf,9.576362974,2.680599473,2.743339558,9.505461646,3.554906558,3.555639302,2.06 
Au_Sc,17.3940832,3.585408907,3.934076058,16.54458311,4.985719782,5.225033095,1.65 
Ir_Co,5.141465074,2.198530738,2.064942559,5.86258785,2.796673377,3.000667212,3.06 
Pt_Re,8.009781276,2.849385448,2.731309791,8.673476811,3.612958941,3.722048756,2.75 
Mo_Nb,3.601019644,1.247661728,1.538488604,5.471423429,1.581111922,1.800387723,3.33 
Co_Ta,4.954035237,1.96789473,2.217314103,5.426009551,2.794397861,2.772579675,3.01 
Pd_Zr,8.355261464,2.589609187,2.638946282,8.911253394,3.427244986,3.297596185,2.08 
Mo_W,-0.29389398,1.170462545,1.28999717,1.738357515,1.873317722,0.458331214,2.85 
Ru_Os,0.329528607,0.461729888,0.727253089,0.408530171,1.141874859,1.151168984,3.45 
Ru_Ti,2.329309253,1.349242916,1.594371876,2.553463758,1.523205801,1.696755552,3.42 
Pd_V,4.195160819,1.785320743,1.84379304,4.004851876,2.370958642,2.393037363,3.01 
Os_V,-1.530387555,0.569809443,0.829586897,1.478953447,0.346616758,0.62272473,3.39 
Co_Ti,4.138808512,1.507931085,1.590882891,4.2543163,2.389253568,2.613664988,2.42 
Co_Nb,3.049225626,1.392940077,1.416696057,4.219146346,2.242228347,2.144256384,2.94 
Au_Nb,12.70891379,3.150836923,3.261365241,11.82956327,4.359023428,4.374341026,2.32 
Ir_Sc,8.283722731,2.678911171,3.19657654,10.11512989,3.324053458,3.744378955,2.48 
Rh_Re,5.347336418,2.028199368,2.259611841,7.351600925,2.857278525,2.939147977,3.14 
Cr_Nb,1.474066392,1.240058844,1.572757575,3.212883448,0.956631327,1.429462791,3.29 
Pd_Ta,7.789438294,2.54347921,2.56069642,7.993775341,3.264591709,3.212517,2.91 
Fe_Zr,9.147302072,2.553314644,2.686238433,11.49438968,3.730435116,3.903282891,2.48 
Cr_Zr,6.829421984,2.662781401,2.83839875,9.775151227,3.324210886,3.61726956,2.01 
V_Ta,3.737082968,2.03298294,2.041559931,6.015779634,2.332894193,2.652357017,2.68 
W_Zr,4.374555105,1.647479162,1.92760533,6.75511329,2.189481626,2.440100064,2.42 
Rh_Sc,10.71236559,2.536729451,2.977323513,11.42736322,3.487361881,3.98662545,2.25 
Ag_Zr,17.08401123,3.456100925,3.478152619,15.17991262,4.927347897,4.948106681,1.95 
Mo_V,2.237745786,1.135631298,1.469150951,3.962135382,1.378048163,1.601305119,3.61 
Pd_Re,5.707872981,2.131409028,2.248128791,6.702903406,2.77178644,2.909608931,2.58 
Pt_Nb,4.027562702,2.135939519,2.239992768,4.524794916,2.56761194,2.350229393,2.94 
Cu_Ir,11.95321093,2.899317231,3.206308543,12.2123116,4.189859214,4.313836027,2.41 
Fe_Re,0.187987178,1.161274566,0.378956176,2.283196754,0.860937372,0.725942376,3.30 
Cr_W,-0.714666609,0.219518438,0.568990551,0.702891886,1.495215004,0.594558356,4.05 
Rh_Ru,4.754392309,1.654829879,2.083494951,3.045231593,2.114379689,2.420660259,3.05 
Mn_Ta,2.682860838,1.787958984,2.009235486,5.465789118,2.243055234,2.467380631,3.54 
Cu_Pd,13.85635735,3.201499111,3.472417774,13.52610273,4.602432867,4.730764623,2.17 
Ru_Y,15.85533293,3.227406451,3.623967346,16.05659615,4.387510791,4.917733252,1.99 
Pd_Rh,8.536512127,2.313107999,2.370040828,6.598888806,2.675596091,3.075048102,2.43 
Ni_Cr,4.675804489,1.314684556,1.442367231,2.593664054,2.177470369,2.548454053,3.37 
Ru_Hf,8.132395713,2.560397495,2.670442745,7.704335502,3.211309799,3.341387635,2.96 
Ni_Zr,8.279045683,2.418108504,2.456840238,7.562188405,3.470675282,3.424013456,1.92 
Pt_Y,16.05411192,3.486415692,3.921944804,15.32036203,4.608694131,4.927258299,1.49 
Pd_Os,4.264255486,1.69449077,1.931829748,4.826946753,2.116329138,2.376623387,2.43 
Fe_Ti,3.311118155,1.147623337,1.340254087,4.419342294,2.054258094,2.457471056,3.28 
Fe_W,0.120590856,1.072058369,0.482427296,2.44743065,0.790279972,0.774622079,3.43 
Ag_Nb,16.58238702,3.374596604,3.446913497,15.39637708,4.909535532,4.989703735,2.26 
Ta_Zr,8.343883322,2.405236774,2.644004334,10.34464368,3.17623276,3.400993009,2.36 
Rh_Mo,2.64556871,1.104661303,1.411808866,2.88679821,1.570713874,1.459785926,3.24 
Au_Ag,19.29925661,3.684520364,3.795797153,17.40851021,5.151610006,5.379298592,1.37 
Au_Cu,18.69570637,3.515486237,3.591715528,15.9161029,4.955392468,5.284546576,1.78 
Ni_Mo,3.529470099,1.319613733,1.621935998,2.853071488,2.115548393,2.049783803,3.17 
Re_Hf,6.803277877,2.387400771,2.47035843,9.214531068,3.074332663,3.276142065,3.19 
Re_Zr,5.335700643,2.095305416,2.270781535,8.759059527,2.792085248,2.970802203,2.99 
Ru_Zr,6.30785103,2.221832652,2.301075814,6.866478283,2.846385671,2.95001903,2.73 
Co_Ru,4.873167368,1.636923376,1.88403123,3.625746606,2.184427992,2.465670676,3.06 
Cu_Co,11.36468913,2.650022671,3.034183263,10.07680311,3.978030529,4.088101474,2.38 
Ir_Os,0.799348864,1.257950076,1.111542837,2.301615786,0.726265587,1.275680474,3.48 
Mn_Hf,7.151909428,2.610166408,2.76929078,9.392705834,3.373195664,3.644794742,2.49 
Os_W,-2.16730312,0.943590328,1.353052327,0.336370455,1.722974892,0.557275807,3.47 
Re_W,-0.793608467,1.159515586,0.59851533,2.037538319,1.654635035,1.164317079,3.48 
